1014;	Pi³a;	https://lh5.googleusercontent.com/p/AF1QipMCXk-JH0x6q6GamR-sIYjx2gYC567x-0VaNqsK=s0;	53.1653653;	16.757494;	PSZOK Pi³a Punkt Selektywnej Zbiórki Odpadów Komunalnych;	10:00–18:00;10:00–18:00;10:00–18:00;10:00–18:00;10:00–18:00;10:00–14:00;0;	668860389;	Fritsa Philipsa;	True;	;	64-920
1015;	Grodzisk Wielkopolski;	https://lh5.googleusercontent.com/p/AF1QipPJZ6qbcM9ROXesrQ1mLFaPnAGkqs9hvtMMWaT7=s0;	52.2198996;	16.38275669999999;	Punkt Selektywnej Zbiórki Odpadów Komunalnych;	0;15:00–19:00;15:00–19:00;0;15:00–19:00;10:00–16:00;0;	;	Koœciañska 32;	True;	;	62-065
1016;	;	https://lh5.googleusercontent.com/p/AF1QipNbEdpin5PKPm6DoRh9g5_NRQCdnNrjWVBx0NaQ=s0;	52.4614322;	17.305561;	Sk³adowisko Odpadów;	10:00–18:00;0;0;09:00–15:00;10:00–18:00;08:00–14:00;0;	618177031;	;	True;	https://zk-pobiedziska.pl/wydzialy/skladowisko-odpadow/;	62-010
1017;	;	;	52.642323;	16.59208;	PSZOK;	0;09:00–17:00;09:00–17:00;09:00–17:00;09:00–17:00;10:00–14:00;0;	612921808;	;	True;	https://odpady.szamotuly.pl/126-pszok.html;	64-500
1018;	Rabowice;	;	52.3801378;	17.111890;	Sk³adowisko Odpadów Komunalnych;	07:00–17:00;07:00–17:00;07:00–17:00;07:00–17:00;07:00–17:00;0;0;	618173421;	Œwierkowa 17;	True;	https://spk.swarzedz.pl/pszok/;	62-020
1019;	Poznañ;	;	52.4189826;	16.979133;	Punkty Selektywnego Zbierania Odpadów Komunalnych;	09:00–15:00;09:00–15:00;09:00–15:00;09:00–15:00;09:00–15:00;0;0;	616110811;	Wrzesiñska 12;	True;	;	61-021
1020;	Kalisz;	https://lh5.googleusercontent.com/p/AF1QipNWng9BCWLBh5jR2Bm6JwgUJ0NMYDjFfF1l4D-R=s0;	51.7395413;	18.07192509999999;	PSZOK Kalisz;	0;10:00–17:00;0;10:00–17:00;0;08:00–15:00;0;	625049766;	Piwonicka 6;	True;	https://www.kalisz.pl/dla-mieszkanca/ochrona-srodowiska/segregacja-odpadow/jak-segregowac/pszok--punkt-selektywnej-zbiorki-odpadow-komunalnych,27058;	62-800
1021;	Konin;	https://lh5.googleusercontent.com/p/AF1QipNHXj5n00VRVHhHotJoMsdDfUXjFXObSiXmZC04=s0;	52.2776201;	18.278286;	Miejski Zak³ad Gospodarki Odpadami Komunalnymi Sp. z o.o.;	06:00–21:30;06:00–21:30;06:00–21:30;06:00–21:30;06:00–21:30;06:00–13:30;0;	632468179;	Sulañska 13;	True;	https://www.mzgok.konin.pl/przyjecie-odpadow;	62-510
1022;	Konin;	https://lh5.googleusercontent.com/p/AF1QipMjZW_eaQ1hfnLJVHeLR4ltc-Jtz4S_VjIRmELR=s0;	52.2089676;	18.232036;	PSZOK Utylizacja bezp³atna odpadów dla mieszkañców Konina;	08:00–15:00;08:00–15:00;08:00–15:00;08:00–15:00;08:00–15:00;0;0;	632428276;	;	True;	;	62-500
1023;	Gniezno;	https://lh5.googleusercontent.com/p/AF1QipNss711xSkk0dgYqroWc4_AyUp_uAZXJp1YLt9n=s0;	52.518543799999996;	17.614209;	Punkt Selektywnego Zbierania Odpadów Komunalnych;	0;11:00–18:00;0;11:00–18:00;11:00–18:00;08:00–14:00;0;	;	Osiniec 6;	True;	https://pszok.gniezno.eu/;	62-200
1024;	Leszno;	;	51.8281707;	16.586952;	Miejski Zak³ad Oczyszczania Sp. z o.o.;	07:00–18:00;07:00–18:00;07:00–18:00;07:00–18:00;07:00–18:00;08:00–15:00;0;	655259282;	Saperska 23;	True;	https://www.mzoleszno.com.pl/Punkt-Selektywnego-Zbierania-Odpadow-Komunalnych.html;	64-100
1025;	Luboñ;	https://lh5.googleusercontent.com/p/AF1QipNHcCjirdlzxPc-Uj2vEpxn5e1MBjHWBa0IbhAJ=s0;	52.350593599999996;	16.891453;	Kom-Lub sp. z o.o.;	07:00–15:00;07:00–15:00;07:00–15:00;07:00–15:00;07:00–15:00;0;0;	618130551;	Niepodleg³oœci 11;	True;	https://kom-lub.com.pl/pszok/;	62-030
1026;	Wrzeœnia;	https://lh5.googleusercontent.com/p/AF1QipOORdaitBIPDQhcVpnsXbeiqnPjYl7MmhXQG9Hk=s0;	52.321567599999995;	17.593672;	PUK Sp. z o.o. GPSZOK (Gminny Punkt Selektywnej Zbiórki Odpadów Komunalnych);	09:00–17:00;09:00–17:00;09:00–17:00;09:00–17:00;09:00–17:00;07:00–12:00;0;	508088381;	Sikorskiego 38;	True;	;	62-300
1027;	Dopiewo;	;	52.3372019;	16.67105549999999;	Punkt Selektywnej Zbiórki Odpadów Komunalnych PSZOK;	15:00–19:00;15:00–19:00;15:00–19:00;15:00–19:00;15:00–19:00;11:00–15:00;0;	;	;	True;	https://www.dopiewo.pl/aktualnosci/2016-03-17/pszok-w-dopiewie;	62-070
1028;	Mosina;	;	52.241129099999995;	16.853749;	PSZOK Mosina;	11:00–19:00;0;11:00–19:00;11:00–19:00;11:00–19:00;09:00–17:00;0;	618132321;	Sowiniecka 6G;	True;	;	62-050
1029;	Krotoszyn;	https://lh5.googleusercontent.com/p/AF1QipNswWfxMA2dG1WnZF5JmUAw1639CBKLbkhKtH4Z=s0;	51.6835026;	17.449575;	Punkt Selektywnego Zbierania Odpadów Komunalnych w Krotoszynie;	08:00–16:00;0;08:00–16:00;0;08:00–16:00;0;0;	534262960;	Ceglarska;	True;	http://eko7.krotoszyn.pl/index.php/punkty-selektywnego-zbierania-odpadow;	63-700
1030;	Krotoszyn;	;	51.6920005;	17.43139009999999;	Zwi¹zek Miêdzygminny „EKO SIÓDEMKA”;	07:30–15:30;07:30–15:30;07:30–15:30;07:30–15:30;07:30–15:30;0;0;	627226632;	Ko³³¹taja 7;	True;	http://eko7.krotoszyn.pl/index.php;	63-700
1031;	Ko³o;	;	52.199177;	18.65058;	Miejski Zak³ad Us³ug Komunalnych Sp. z o.o.;	0;12:00–17:00;0;12:00–17:00;0;0;0;	632722139;	D¹bska 40K;	True;	http://www.mzuk.kolo.pl/bip/kontakt.html;	62-600
1032;	Ko³o;	;	52.220504;	18.61380;	PreZero Service Centrum Sp. z o.o. - Oddzia³ Ko³o;	07:00–15:00;07:00–15:00;07:00–15:00;07:00–15:00;07:00–15:00;0;0;	;	Sosnowa 1;	True;	;	62-600
1033;	Z³otów;	;	53.3543624;	17.04698179999999;	Miejski Zak³ad Us³ug Komunalnych Sp. z o.o. & Novago Z³otów Sp. z o.o;	07:00–15:00;07:00–15:00;07:00–15:00;07:00–15:00;07:00–15:00;0;0;	672633011;	Szpitalna 38;	True;	https://novago-zlotow.pl/punkty-selektywnej-zbiorki-odpadow-komunalnych/;	77-400
1034;	Jastrowie;	;	53.4105415;	16.82516279999999;	PSZOK Punkt Selektywnej Zbiórki Odpadów Komunalnych Jastrowie;	09:00–17:00;0;09:00–17:00;0;0;09:00–17:00;0;	668860393;	;	True;	;	64-915
1035;	Chodzie¿;	;	52.995907499999994;	16.908606;	Zak³ad Oczyszczania Miasta s.c.;	07:00–15:00;07:00–15:00;07:00–15:00;07:00–15:00;07:00–15:00;0;0;	501681530;	Fabryczna 4;	True;	http://www.zom-chodziez.pl/;	64-800
1036;	Oborniki;	;	52.6457822;	16.818822;	PSZOK Oborniki – Punkt Selektywnego Zbierania Odpadów Komunalnych;	09:00–17:00;0;09:00–17:00;0;09:00–17:00;08:00–13:00;0;	612961206;	Lipowa 19;	True;	;	64-600
